PlanId,PlanName,DesignId,Run,Tags,Output,CreatedBy,CreatedAt
PReuse_TS_Open,Open Edge and load ThoughtStream,D1,N,Reuse,site_loaded,QA_Hunter+full_audit_v2,2026-07-20T16:30:38+00:00
PTS_Smoke_HomeCapture,Capture home Voice Screen Try samples,D1,Y,thoughtstream;Smoke;Home;Landing,home_ok,QA_Hunter+full_audit_v2,2026-07-20T16:30:38+00:00
PTS_Smoke_IdeasLibrary,Ideas Library empty guest state,D1,Y,thoughtstream;Smoke;Ideas;Landing,ideas_ok,QA_Hunter+full_audit_v2,2026-07-20T16:30:38+00:00
PTS_Smoke_Dashboard,Dashboard empty insights guest,D1,Y,thoughtstream;Smoke;Dashboard;Landing,dash_ok,QA_Hunter+full_audit_v2,2026-07-20T16:30:38+00:00
PTS_Smoke_Login,Login welcome Google email password,D1,Y,thoughtstream;Smoke;Login;Auth,login_ok,QA_Hunter+full_audit_v2,2026-07-20T16:30:38+00:00
PTS_Smoke_Register,Register create account form,D1,Y,thoughtstream;Smoke;Register;Auth,register_ok,QA_Hunter+full_audit_v2,2026-07-20T16:30:38+00:00
PTS_Smoke_Forgot,Forgot password reset form,D1,Y,thoughtstream;Smoke;Auth,forgot_ok,QA_Hunter+full_audit_v2,2026-07-20T16:30:38+00:00
PTS_Smoke_ResetInvalid,Reset password invalid link,D1,Y,thoughtstream;Smoke;Auth,reset_ok,QA_Hunter+full_audit_v2,2026-07-20T16:30:38+00:00
PTS_Smoke_BottomNav,Bottom nav Capture Ideas Dashboard,D1,Y,thoughtstream;Smoke;Nav;Shell,nav_ok,QA_Hunter+full_audit_v2,2026-07-20T16:30:38+00:00
PTS_Smoke_Integrate,Integrate embed SDK docs page,D1,Y,thoughtstream;Smoke;Integrate;Landing,integrate_ok,QA_Hunter+full_audit_v2,2026-07-20T16:30:38+00:00
PTS_Smoke_Docs,Docs app documentation + AI integrations,D1,Y,thoughtstream;Smoke;Docs;Landing,docs_ok,QA_Hunter+full_audit_v2,2026-07-20T16:30:38+00:00
PTS_Smoke_EmbedGate,Embed requires sign-in to capture,D1,Y,thoughtstream;Smoke;Embed;Auth,embed_ok,QA_Hunter+full_audit_v2,2026-07-20T16:30:38+00:00
PTS_Smoke_PublicViewPrivate,Private /view/id not publicly available,D1,Y,thoughtstream;Smoke;Public;404,view_private,QA_Hunter+full_audit_v2,2026-07-20T16:30:38+00:00
PTS_Smoke_404,Unknown route shows 404,D1,Y,thoughtstream;Smoke;404,404_ok,QA_Hunter+full_audit_v2,2026-07-20T16:30:38+00:00
PTS_Smoke_BrahlConclusion,BRAHL conclusion — Capture Docs Integrate ready,D1,Y,thoughtstream;Smoke;BRAHL;Conclusion,brahl_conclusion,QA_Hunter+full_audit_v2,2026-07-20T16:30:38+00:00
PTS_UI_BrandThoughtCapture,Header brand ThoughtCapture,D1,Y,thoughtstream;UI;Shell;Landing,brand_ok,QA_Hunter+full_audit_v2,2026-07-20T16:30:38+00:00
