PlanId,PlanName,DesignId,Run,Tags,Output,CreatedBy,CreatedAt
PReuse_A77_Open,Open Edge and load Atomic 77,D1,N,Reuse,site_loaded,QA_Hunter+Playwright_Edge_v3,2026-07-18T09:15:35+00:00
PA77_Smoke_HomeHero,Home hero amplified by AI + no-CC promise,D1,Y,a77;Smoke;Home;Landing,home_hero,QA_Hunter+Playwright_Edge_v3,2026-07-18T09:15:35+00:00
PA77_Smoke_BrahlLoopSection,Home THE BRAHL LOOP BUILD RUN ANALYZE HEAL LOOP,D1,Y,a77;Smoke;BRAHL;Landing,brahl_loop,QA_Hunter+Playwright_Edge_v3,2026-07-18T09:15:35+00:00
PA77_Smoke_FeatureStrip,Home feature strip Roadmap Content SEO Social,D1,Y,a77;Smoke;Atomic77;Landing,features,QA_Hunter+Playwright_Edge_v3,2026-07-18T09:15:35+00:00
PA77_Smoke_Testimonials,Home testimonials section,D1,Y,a77;Smoke;Landing,testimonials,QA_Hunter+Playwright_Edge_v3,2026-07-18T09:15:35+00:00
PA77_Smoke_Portfolio,Home portfolio Apps We Built,D1,Y,a77;Smoke;Landing,portfolio,QA_Hunter+Playwright_Edge_v3,2026-07-18T09:15:35+00:00
PA77_Smoke_PricingTiers,Pricing Free AI Build tiers + FoXYiZ copy,D1,Y,a77;Smoke;Pricing;Cost,pricing,QA_Hunter+Playwright_Edge_v3,2026-07-18T09:15:35+00:00
PA77_Smoke_Login,Login form Google email password,D1,Y,a77;Smoke;Login;Auth,login,QA_Hunter+Playwright_Edge_v3,2026-07-18T09:15:35+00:00
PA77_Smoke_Register,Register create account form,D1,Y,a77;Smoke;Register;Auth,register,QA_Hunter+Playwright_Edge_v3,2026-07-18T09:15:35+00:00
PA77_Smoke_Forgot,Forgot password send-reset form,D1,Y,a77;Smoke;Auth,forgot,QA_Hunter+Playwright_Edge_v3,2026-07-18T09:15:35+00:00
PA77_Smoke_ResetInvalid,Reset password invalid + request new link,D1,Y,a77;Smoke;Auth,reset,QA_Hunter+Playwright_Edge_v3,2026-07-18T09:15:35+00:00
PA77_Smoke_OnboardingStep1,Onboarding step1 business name industries,D1,Y,a77;Smoke;Onboarding;Landing,onboard1,QA_Hunter+Playwright_Edge_v3,2026-07-18T09:15:35+00:00
PA77_Smoke_LivePreview,Home live preview BRAHL chips New Feature PRD,D1,Y,a77;Smoke;BRAHL;Landing,preview,QA_Hunter+Playwright_Edge_v3,2026-07-18T09:15:35+00:00
PA77_Smoke_BrahlConclusion,BRAHL conclusion — guest Go/No-Go shell ready,D1,Y,a77;Smoke;BRAHL;Conclusion,brahl_conclusion,QA_Hunter+guest_arch_v4,2026-07-20T16:19:12+00:00
PA77_Smoke_DashboardGate,Dashboard guest command center (demo shell),D1,Y,a77;Smoke;Dashboard;Guest,dash_guest,QA_Hunter+guest_arch_v4,2026-07-20T16:19:12+00:00
PA77_Smoke_BrahlPhasesGate,Guest BRAHL Build Run Analyze Heal Loop pages open,D1,Y,a77;Smoke;Build;Run;Heal;Loop;BRAHL;Guest,phases_guest,QA_Hunter+guest_arch_v4,2026-07-20T16:19:12+00:00
PA77_Smoke_ContentSeoGate,Guest Content Studio + SEO Intelligence open,D1,Y,a77;Smoke;Atomic77;Guest,tools_guest,QA_Hunter+guest_arch_v4,2026-07-20T16:19:12+00:00
