PlanId,PlanName,DesignId,Run,Tags,Output,CreatedBy,CreatedAt
PReuse_Konfiga_Open,Open Edge and load Konfiga,D1,N,Reuse,site_loaded,QA_Hunter+FoXYiZ_exe,2026-07-21T19:16:11+00:00
PKonf_Smoke_Home,Home hero + brand + launching badge,D1,Y,konfiga;Smoke;Home;Landing,home_ok,QA_Hunter+FoXYiZ_exe,2026-07-21T19:16:11+00:00
PKonf_Smoke_Features,Powerful Features section,D1,Y,konfiga;Smoke;Features,features_ok,QA_Hunter+FoXYiZ_exe,2026-07-21T19:16:11+00:00
PKonf_Smoke_CapabilityCards,Six capability cards present,D1,Y,konfiga;Smoke;Features;Cards,caps_ok,QA_Hunter+FoXYiZ_exe,2026-07-21T19:16:11+00:00
PKonf_Smoke_Workflow,Simple Workflow steps 1-5,D1,Y,konfiga;Smoke;Workflow,workflow_ok,QA_Hunter+FoXYiZ_exe,2026-07-21T19:16:11+00:00
PKonf_Smoke_AgentFramework,Agent Framework catalog cards,D1,Y,konfiga;Smoke;Framework,fw_ok,QA_Hunter+FoXYiZ_exe,2026-07-21T19:16:11+00:00
PKonf_Smoke_NavCTAs,Create Agent + Start Building + Sign In,D1,Y,konfiga;Smoke;Nav;CTA,cta_ok,QA_Hunter+FoXYiZ_exe,2026-07-21T19:16:11+00:00
PKonf_Smoke_BrahlConclusion,BRAHL conclusion — Konfiga shell ready,D1,Y,konfiga;Smoke;BRAHL;Conclusion,brahl_ok,QA_Hunter+FoXYiZ_exe,2026-07-21T19:16:11+00:00
PKonf_UI_FeaturesAnchor,Navigate #features shows Powerful Features,D1,Y,konfiga;UI;Nav;Features,ui_features,QA_Hunter+FoXYiZ_exe,2026-07-21T19:16:11+00:00
PKonf_UI_HowAnchor,Navigate #how-it-works shows workflow,D1,Y,konfiga;UI;Nav;How,ui_how,QA_Hunter+FoXYiZ_exe,2026-07-21T19:16:11+00:00
PKonf_UI_FormAnchor,Navigate #agent-form / Build Agent area,D1,Y,konfiga;UI;Nav;Form,ui_form,QA_Hunter+FoXYiZ_exe,2026-07-21T19:16:11+00:00
PKonf_UI_CapabilitySecurity,Enterprise Security card copy,D1,Y,konfiga;UI;Features;Security,ui_sec_card,QA_Hunter+FoXYiZ_exe,2026-07-21T19:16:11+00:00
PKonf_UI_AgentCards,DataMind / Support / Guardian cards,D1,Y,konfiga;UI;Framework;Cards,ui_agents,QA_Hunter+FoXYiZ_exe,2026-07-21T19:16:11+00:00
PKonf_Edge_Unknown404,Unknown path shows This Page Does Not Exist,D1,Y,konfiga;Edge;404,edge_404,QA_Hunter+FoXYiZ_exe,2026-07-21T19:16:11+00:00
PKonf_Edge_CreateAgent404,A1: /create-agent returns not-found page,D1,Y,konfiga;Edge;Issue;Create,a1_create,QA_Hunter+FoXYiZ_exe,2026-07-21T19:16:11+00:00
PKonf_Edge_Framework404,A1: /agent-framework returns not-found page,D1,Y,konfiga;Edge;Issue;Framework,a1_fw,QA_Hunter+FoXYiZ_exe,2026-07-21T19:16:11+00:00
PKonf_Edge_Login404,A1: /login returns not-found page,D1,Y,konfiga;Edge;Issue;Auth,a1_login,QA_Hunter+FoXYiZ_exe,2026-07-21T19:16:11+00:00
PKonf_Edge_Upload404,A1: /upload-konfiga returns not-found page,D1,Y,konfiga;Edge;Issue;Upload,a1_upload,QA_Hunter+FoXYiZ_exe,2026-07-21T19:16:11+00:00
PKonf_API_GetHome,GET / returns 200,D1,Y,konfiga;API;Home,api_home,QA_Hunter+FoXYiZ_exe,2026-07-21T19:16:11+00:00
PKonf_API_FaviconMissing,GET /favicon.ico returns 404 (A1),D1,Y,konfiga;API;Issue,api_favicon,QA_Hunter+FoXYiZ_exe,2026-07-21T19:16:11+00:00
PKonf_API_RobotsMissing,GET /robots.txt returns 404 (A1),D1,Y,konfiga;API;Issue,api_robots,QA_Hunter+FoXYiZ_exe,2026-07-21T19:16:11+00:00
PKonf_API_Unknown404,GET unknown returns 404,D1,Y,konfiga;API;404,api_unknown,QA_Hunter+FoXYiZ_exe,2026-07-21T19:16:11+00:00
PKonf_API_ManifestMissing,GET /manifest.json returns 404 (A1),D1,Y,konfiga;API;Issue,api_manifest,QA_Hunter+FoXYiZ_exe,2026-07-21T19:16:11+00:00
PKonf_Sec_HttpsHost,Site served over https,D1,Y,konfiga;Security;Landing,sec_https,QA_Hunter+FoXYiZ_exe,2026-07-21T19:16:11+00:00
PKonf_Perf_HomeLoad,Home load under 15s,D1,Y,konfiga;Perf;Home,perf_home,QA_Hunter+FoXYiZ_exe,2026-07-21T19:16:11+00:00
PKonf_Manual_AgentCreator,HITL: AI Agent Creator form interact,D1,N,konfiga;Manual;Form;Hunt,hitl_form,QA_Hunter+FoXYiZ_exe,2026-07-21T19:16:11+00:00
PKonf_Manual_TryDeploy,HITL: Try/Deploy on framework cards,D1,N,konfiga;Manual;Framework;Hunt,hitl_deploy,QA_Hunter+FoXYiZ_exe,2026-07-21T19:16:11+00:00
