PlanId,PlanName,DesignId,Run,Tags,Output
PReuse_atomic77_OpenSite,Open browser and navigate to Atomic 77,D1,N,Reuse,site_loaded
PWeb_OpenLanding,Open Atomic 77 home page,D1,Y,atomic77;Smoke;Landing,landing_loaded
PWeb_VerifyTitle,Verify home page title,D1,Y,atomic77;Smoke,title_verified
PWeb_Home_Advisor,Verify AI Business Advisor section,D1,Y,atomic77;Smoke;Landing,advisor_ok
PWeb_Docs_Load,Docs page loads with My Docs heading,D1,Y,atomic77;Smoke;Docs,docs_loaded
PWeb_Docs_NewDoc,Docs page shows New Doc action,D1,Y,atomic77;Smoke;Docs,new_doc_ok
PWeb_BuildApp_Load,Build App landing page loads,D1,Y,atomic77;Smoke;Build,build_app_ok
PWeb_Login_Page,Login page form elements,D1,Y,atomic77;Smoke;Auth,login_page_ok
PWeb_Register_Page,Register page form elements,D1,Y,atomic77;Smoke;Auth,register_page_ok
PWeb_Forgot_Password,Forgot password page loads,D1,Y,atomic77;Smoke;Auth,forgot_password_ok
PWeb_Nav_Docs,Navigate to docs via nav link,D1,Y,atomic77;Docs,docs_nav_ok
PWeb_Issue_Dashboard_404,Dashboard route returns 404,D1,Y,atomic77;Issue;Regression,dashboard_404_ok
PWeb_Issue_ConnectedApps_404,Connected apps route returns 404,D1,Y,atomic77;Issue;Regression,connected_apps_404_ok
PWeb_AuthGate_Automations,Automations redirects to login,D1,Y,atomic77;Auth;Security,automations_gate_ok
PAPI_Manifest,GET manifest.json returns PWA metadata,D1,Y,atomic77;API;Smoke,manifest_ok
PAPI_AuthSession_Unauth,Unauthenticated session API returns 401,D1,Y,atomic77;API;Security;Smoke,session_unauth_ok
PAPI_AppLog_Home,POST home app-log beacon succeeds,D1,Y,atomic77;API;NFR,applog_home_ok
PAPI_AppLog_Docs,POST docs app-log beacon succeeds,D1,N,atomic77;API;NFR;Redundant,applog_docs_ok
PAPI_Apps_Unauth,Protected apps API returns 401 without auth,D1,Y,atomic77;API;Security,apps_unauth_ok
PAPI_InvalidLogin,Invalid login credentials rejected with 400,D1,Y,atomic77;API;Security,invalid_login_ok
PAPI_Robots,robots.txt is reachable,D1,Y,atomic77;API;NFR,robots_ok
PWeb_Sec_EvilQuery,Evil XSS query on landing loads safely,D1,Y,atomic77;Security;Smoke;NFR,evil_query_safe
PWeb_Sec_Profile_Gate,Profile route redirects to login,D1,Y,atomic77;Security;Auth,profile_gate_ok
PWeb_Perf_Home_Load,Home page load under perf threshold,D1,Y,atomic77;Performance;NFR,home_perf_ok
PWeb_Perf_Docs_Load,Docs page load under perf threshold,D1,Y,atomic77;Performance;NFR,docs_perf_ok
PAPI_Perf_Session,Auth session API response under perf threshold,D1,Y,atomic77;Performance;API,session_perf_ok
