PlanId,PlanName,DesignId,Run,Tags,Output
PReuse_sunshine_OpenSite,Open browser and navigate to Sunshine,D1,N,Reuse,site_loaded
PReuse_sunshine_Home,Open site and reset to home,D1,N,Reuse,site_home
PReuse_sunshine_Admin,Store Admin PIN unlock,D2,N,Reuse;Admin,admin_ready
PWeb_OpenLanding,Open Sunshine landing page,D1,Y,sunshine;Smoke;Landing,landing_loaded
PWeb_VerifyTitle,Verify landing page title,D1,Y,sunshine;Smoke,title_verified
PWeb_VerifyNav,Verify main navigation links,D1,Y,sunshine;Smoke;Navigation,nav_verified
PWeb_Home_Hero,Verify home hero and tagline,D1,Y,sunshine;Smoke;Landing,hero_ok
PWeb_Admin_Store_Access,Store Admin PIN opens post-PIN gate,D2,Y,sunshine;Admin;Smoke,admin_access_ok
PWeb_Admin_Dashboard,Verify post-PIN login gate after admin reuse,D2,Y,sunshine;Admin;Issue,admin_gate_ok
PWeb_Ordering_Flow,Verify grocery ordering steps on home,D1,Y,sunshine;Landing,ordering_flow_ok
PWeb_Nav_Shop,Navigate to shop via nav,D1,Y,sunshine;Shop;Navigation,shop_nav_ok
PWeb_Nav_Salon,Navigate to salon via nav,D1,Y,sunshine;Salon;Navigation,salon_nav_ok
PWeb_Nav_Track,Navigate to track order via nav,D1,Y,sunshine;Track;Navigation,track_nav_ok
PWeb_Nav_About,Navigate to about page via nav,D1,Y,sunshine;About;Navigation,about_nav_ok
PWeb_Home_Order_CTA,Home Order Groceries CTA reaches shop,D1,Y,sunshine;Shop;Landing,order_cta_ok
PWeb_Home_Salon_CTA,Home Book Salon CTA reaches salon,D1,Y,sunshine;Salon;Landing,salon_cta_ok
PWeb_Shop_Guest_Gate,Shop shows guest or sign-in gate,D1,Y,sunshine;Shop;Auth,shop_gate_ok
PWeb_Shop_Continue_Guest,Continue as guest on shop,D1,Y,sunshine;Shop,shop_guest_ok
PWeb_Salon_Guest_Gate,Salon shows guest or sign-in gate,D1,Y,sunshine;Salon,salon_gate_ok
PWeb_Track_Page,Track order page loads,D1,Y,sunshine;Track,track_page_ok
PWeb_Track_Invalid_Order,Track with invalid order number,D1,Y,sunshine;Track;Negative,track_invalid_ok
PWeb_About_Content,About page story and hours,D1,Y,sunshine;About,about_content_ok
PWeb_Checkout_Empty,Checkout shows empty cart state,D1,Y,sunshine;Shop;Checkout,checkout_empty_ok
PWeb_Login_Page,Login page form elements,D1,Y,sunshine;Auth;Login,login_page_ok
PWeb_Register_Page,Register page form elements,D1,Y,sunshine;Auth;Register,register_page_ok
PWeb_Forgot_Password,Forgot password link navigation,D1,Y,sunshine;Auth;Password,forgot_password_ok
PWeb_Sec_XSS_Login,XSS in login email handled safely,D1,Y,sunshine;Security;Auth,xss_login_safe
PWeb_Sec_EvilQuery,Evil query on landing loads safely,D1,Y,sunshine;Security;NFR,evil_query_safe
PWeb_Issue_Cart_404,Cart route returns 404 (known),D1,Y,sunshine;Issue;Regression,cart_404_ok
