PlanId,StepId,StepInfo,ActionType,ActionName,Input,Output,Expected,Critical
PReuse_J_P1_Shell_Client,1,Open site,xReuse,PReuse_qoa_web_OpenSite,,,,y
PReuse_J_P1_Shell_Client,2,Load persona profile,xUI,xNavigate,profile_url,,,y
PReuse_J_P1_Shell_Client,3,Wait for profile,xTime,xTimeWait,3,,,y
PReuse_J_P1_Shell_Client,4,Verify profile chip,xUI,xGetText,profile_chip_code_locator,,persona_code,y
PJ_P1_Nav_build_cli,1,Journey shell ready,xReuse,PReuse_J_P1_Shell_Client,,,,y
PJ_P1_Nav_build_cli,2,Click Build tab,xUI,xClick,nav_build_btn,,,y
PJ_P1_Nav_build_cli,3,Wait for panel,xTime,xTimeWait,2,,,y
PJ_P1_Nav_build_cli,4,Verify Build nav label,xUI,xGetText,nav_build_btn,,Build,y
PJ_P1_Nav_run_cli,1,Journey shell ready,xReuse,PReuse_J_P1_Shell_Client,,,,y
PJ_P1_Nav_run_cli,2,Click Run tab,xUI,xClick,nav_run_btn,,,y
PJ_P1_Nav_run_cli,3,Wait for panel,xTime,xTimeWait,2,,,y
PJ_P1_Nav_run_cli,4,Verify Run nav label,xUI,xGetText,nav_run_btn,,Run,y
PJ_P1_Nav_analyze_cli,1,Journey shell ready,xReuse,PReuse_J_P1_Shell_Client,,,,y
PJ_P1_Nav_analyze_cli,2,Click Analyze tab,xUI,xClick,nav_analyze_btn,,,y
PJ_P1_Nav_analyze_cli,3,Wait for panel,xTime,xTimeWait,2,,,y
PJ_P1_Nav_analyze_cli,4,Verify Analyze nav label,xUI,xGetText,nav_analyze_btn,,Analyze,y
PJ_P1_Nav_heal_cli,1,Journey shell ready,xReuse,PReuse_J_P1_Shell_Client,,,,y
PJ_P1_Nav_heal_cli,2,Click Heal tab,xUI,xClick,nav_heal_btn,,,y
PJ_P1_Nav_heal_cli,3,Wait for panel,xTime,xTimeWait,2,,,y
PJ_P1_Nav_heal_cli,4,Verify Heal nav label,xUI,xGetText,nav_heal_btn,,Heal,y
PJ_P1_Nav_loop_cli,1,Journey shell ready,xReuse,PReuse_J_P1_Shell_Client,,,,y
PJ_P1_Nav_loop_cli,2,Click Loop tab,xUI,xClick,nav_loop_btn,,,y
PJ_P1_Nav_loop_cli,3,Wait for panel,xTime,xTimeWait,2,,,y
PJ_P1_Nav_loop_cli,4,Verify Loop nav label,xUI,xGetText,nav_loop_btn,,Loop,y
PJ_P1_Nav_brahl_cli,1,Journey shell ready,xReuse,PReuse_J_P1_Shell_Client,,,,y
PJ_P1_Nav_brahl_cli,2,Click BRAHL tab,xUI,xClick,nav_brahl_btn,,,y
PJ_P1_Nav_brahl_cli,3,Wait for panel,xTime,xTimeWait,2,,,y
PJ_P1_Nav_brahl_cli,4,Verify BRAHL nav label,xUI,xGetText,nav_brahl_btn,,BRAHL,y
PJ_P1_Nav_atomic77_cli,1,Journey shell ready,xReuse,PReuse_J_P1_Shell_Client,,,,y
PJ_P1_Nav_atomic77_cli,2,Click Atomic77 tab,xUI,xClick,nav_atomic77_btn,,,y
PJ_P1_Nav_atomic77_cli,3,Wait for panel,xTime,xTimeWait,2,,,y
PJ_P1_Nav_atomic77_cli,4,Verify Atomic77 nav label,xUI,xGetText,nav_atomic77_btn,,A77,y
PJ_P1_Nav_cost_cli,1,Journey shell ready,xReuse,PReuse_J_P1_Shell_Client,,,,y
PJ_P1_Nav_cost_cli,2,Click Cost tab,xUI,xClick,nav_cost_btn,,,y
PJ_P1_Nav_cost_cli,3,Wait for panel,xTime,xTimeWait,2,,,y
PJ_P1_Nav_cost_cli,4,Verify Cost nav label,xUI,xGetText,nav_cost_btn,,$,y
PReuse_J_P1_Shell_Networker,1,Open site,xReuse,PReuse_qoa_web_OpenSite,,,,y
PReuse_J_P1_Shell_Networker,2,Load persona profile,xUI,xNavigate,profile_url,,,y
PReuse_J_P1_Shell_Networker,3,Wait for profile,xTime,xTimeWait,3,,,y
PReuse_J_P1_Shell_Networker,4,Verify profile chip,xUI,xGetText,profile_chip_code_locator,,persona_code,y
PReuse_J_P1_Shell_Networker,5,Select Networker avatar,xUI,xClick,avatar_networker_bar_btn,,,y
PReuse_J_P1_Shell_Networker,6,Wait after avatar,xTime,xTimeWait,2,,,y
PJ_P1_Nav_atomic77_net,1,Journey shell ready,xReuse,PReuse_J_P1_Shell_Networker,,,,y
PJ_P1_Nav_atomic77_net,2,Click Atomic77 tab,xUI,xClick,nav_atomic77_btn,,,y
PJ_P1_Nav_atomic77_net,3,Wait for panel,xTime,xTimeWait,2,,,y
PJ_P1_Nav_atomic77_net,4,Verify Atomic77 nav label,xUI,xGetText,nav_atomic77_btn,,A77,y
PJ_P1_Nav_cost_net,1,Journey shell ready,xReuse,PReuse_J_P1_Shell_Networker,,,,y
